2026-05-01 00:18:42 | INFO     | cross_validation |   Combo 13/20: {'n_neighbors': 13}
2026-05-01 00:18:42 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:42 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:42 | INFO     | cross_validation |   Fold 1/5: train=1917 (orig=639, aug=1278), val=160, acc=71.25%  [0.5s]
2026-05-01 00:18:42 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:42 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:42 | INFO     | cross_validation |   Fold 2/5: train=1917 (orig=639, aug=1278), val=160, acc=71.25%  [0.3s]
2026-05-01 00:18:42 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:43 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:43 | INFO     | cross_validation |   Fold 3/5: train=1917 (orig=639, aug=1278), val=160, acc=77.50%  [0.5s]
2026-05-01 00:18:43 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:43 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:43 | INFO     | cross_validation |   Fold 4/5: train=1917 (orig=639, aug=1278), val=160, acc=75.00%  [0.5s]
2026-05-01 00:18:43 | DEBUG    | reduction | Scaler fitted on 640 samples, 166 features
2026-05-01 00:18:44 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:45 | INFO     | cross_validation |   Fold 5/5: train=1920 (orig=640, aug=1280), val=159, acc=75.47%  [1.2s]
2026-05-01 00:18:45 | INFO     | cross_validation |   CV result: 74.09% ± 2.47%
2026-05-01 00:18:45 | INFO     | cross_validation |   Combo 14/20: {'n_neighbors': 14}
2026-05-01 00:18:45 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:45 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:45 | INFO     | cross_validation |   Fold 1/5: train=1917 (orig=639, aug=1278), val=160, acc=72.50%  [0.7s]
2026-05-01 00:18:45 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:46 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:46 | INFO     | cross_validation |   Fold 2/5: train=1917 (orig=639, aug=1278), val=160, acc=71.25%  [0.7s]
2026-05-01 00:18:46 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:46 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:46 | INFO     | cross_validation |   Fold 3/5: train=1917 (orig=639, aug=1278), val=160, acc=76.25%  [0.2s]
2026-05-01 00:18:46 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:46 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:46 | INFO     | cross_validation |   Fold 4/5: train=1917 (orig=639, aug=1278), val=160, acc=74.38%  [0.1s]
2026-05-01 00:18:46 | DEBUG    | reduction | Scaler fitted on 640 samples, 166 features
2026-05-01 00:18:46 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:46 | INFO     | cross_validation |   Fold 5/5: train=1920 (orig=640, aug=1280), val=159, acc=76.10%  [0.2s]
2026-05-01 00:18:46 | INFO     | cross_validation |   CV result: 74.10% ± 1.97%
2026-05-01 00:18:46 | INFO     | cross_validation |   Combo 15/20: {'n_neighbors': 15}
2026-05-01 00:18:46 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:47 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:47 | INFO     | cross_validation |   Fold 1/5: train=1917 (orig=639, aug=1278), val=160, acc=71.25%  [0.1s]
2026-05-01 00:18:47 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:47 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:47 | INFO     | cross_validation |   Fold 2/5: train=1917 (orig=639, aug=1278), val=160, acc=73.12%  [0.1s]
2026-05-01 00:18:47 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:47 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
2026-05-01 00:18:47 | INFO     | cross_validation |   Fold 3/5: train=1917 (orig=639, aug=1278), val=160, acc=74.38%  [0.1s]
2026-05-01 00:18:47 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:18:47 | DEBUG    | reduction | LDA: 166 → 9 discriminant components
