2026-05-01 00:40:41 | INFO     | cross_validation |   Fold 5/5: train=1920 (orig=640, aug=1280), val=159, acc=77.99%  [3.5s]
2026-05-01 00:40:41 | INFO     | cross_validation |   CV result: 75.47% ± 2.81%
2026-05-01 00:40:41 | INFO     | cross_validation |   Combo 10/16: {'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'subsample': 1.0}
2026-05-01 00:40:41 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:40:44 | INFO     | cross_validation |   Fold 1/5: train=1917 (orig=639, aug=1278), val=160, acc=76.88%  [3.4s]
2026-05-01 00:40:44 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:40:47 | INFO     | cross_validation |   Fold 2/5: train=1917 (orig=639, aug=1278), val=160, acc=76.25%  [3.4s]
2026-05-01 00:40:47 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:40:51 | INFO     | cross_validation |   Fold 3/5: train=1917 (orig=639, aug=1278), val=160, acc=72.50%  [3.3s]
2026-05-01 00:40:51 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:40:54 | INFO     | cross_validation |   Fold 4/5: train=1917 (orig=639, aug=1278), val=160, acc=71.25%  [3.3s]
2026-05-01 00:40:54 | DEBUG    | reduction | Scaler fitted on 640 samples, 166 features
2026-05-01 00:41:00 | INFO     | cross_validation |   Fold 5/5: train=1920 (orig=640, aug=1280), val=159, acc=74.84%  [3.1s]
2026-05-01 00:41:00 | INFO     | cross_validation |   CV result: 74.34% ± 2.16%
2026-05-01 00:41:00 | INFO     | cross_validation |   Combo 11/16: {'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}
2026-05-01 00:41:00 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:41:07 | INFO     | cross_validation |   Fold 1/5: train=1917 (orig=639, aug=1278), val=160, acc=78.75%  [7.0s]
2026-05-01 00:41:07 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:41:14 | INFO     | cross_validation |   Fold 2/5: train=1917 (orig=639, aug=1278), val=160, acc=77.50%  [7.3s]
2026-05-01 00:41:14 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
2026-05-01 00:41:22 | INFO     | cross_validation |   Fold 3/5: train=1917 (orig=639, aug=1278), val=160, acc=77.50%  [7.7s]
2026-05-01 00:41:22 | DEBUG    | reduction | Scaler fitted on 639 samples, 166 features
